File,Title,Artist,Release,Duration,BPM,Ratio Bars in 4,Time Signature,Genre,MusicBrainz Id,Acoustid Id
0001_12step,"1, 2 Step",Ciara,Goodies,142.47,113,100.0,4|4,R&B,0408655f-189f-371b-9c41-ec861e1a7810,4708e4ae-a3eb-4b7a-b701-ff3a142b2bcb
0003_6foot7foot,6 Foot 7 Foot,Lil Wayne,Tha Carter IV,157.347,84,100.0,4|4,Hip-Hop,83347ae2-5def-378a-a3f5-96ec56c25ab7,
0004_abc,ABC,The Jackson 5,Hits for Kids Pop Party 8,180.955,94,94.59459459,4|4,Pop-Rock,5f1604ed-5c6b-4a85-8391-15aa61ae7f98,88ddde1c-8009-497a-b295-e61125bb5162
0005_again,Again,Flyleaf,Memento Mori,192.067,78,0.0,6|8,Alternative,09aed1ac-4094-3337-86ef-8303531d57f1,
0006_aint2proud2beg,Ain’t 2 Proud 2 Beg,TLC,Now & Forever: The Hits,181.034,105,100.0,4|4,R&B,09723bc0-b3e9-4f86-a563-c80d25df049e,
0008_america,America,Spın̈al Tap,Back From the Dead,222.683,136,96.58119658,4|4,Metal,52b13027-fdc1-4d4a-8961-085f04296ce0,ddd1e9e9-780b-42f5-bab3-08903146677c
0009_americanmusic,American Music,Violent Femmes,Generation X,223.807,133,99.19354839,4|4,Alternative,662eef72-f432-4712-8cad-efe4e33c33f0,182e7125-2b5f-474d-b1a3-43db40ab14b7
0010_andjusticeforall,...and Justice for All (LP version),Metallica,...and Justice for All,592.11,172,65.33333333,6|4,Metal,51a78bee-4ef0-4b5b-96ea-f2878f3d7993,686fe18e-a9af-444f-b21d-0a93e80addfb
0011_areyouexperienced,Do You Need a Friend,Natural Vibrations,Balls Rolling,257.717,82,97.70114943,4|4,Classic Rock,8418c5f0-3649-4cd1-972e-613be797a141,
0012_aroundtheworld,House Music Lovers,El Chico,"Best of Italian House, Volume 2",154.601,121,100.0,4|4,Dance/Electronic,6e87e720-67f1-35bc-923b-6e5f642610b3,
